title,citation,coram,decision_date,case_no,bench,pdf_path_or_url,snippet
Kuldeep Singh v. The State of Punjab & Ors.,[2025] 1 S.C.R. 1392,"Coram : VIKRAM NATH * , PRASANNA BHALACHANDRA VARALE",31-01-2025,CRIMINAL APPEAL No. 520/2025,2 Judges,pdfs/Kuldeep Singh v. The State of Punjab & Ors..pdf,"Penal Code, 1860 – ss.366, 376 and 506 – Allegation against the accused-appellant that he abducted the respondent no. 3/victim – FIR u/s.366 IPC was registered – Whereas, it was the case of the appellant that he and respondent no. 3 had married each other – The respondent no. 3 had recorded a statement u/s.164 of the Cr.P.C, with the JMFC raising allegations of rape against the appellant and also alleged that the marriage was solemnised forcibly by the appellant – After investigation, the SIT filed the inquiry report – s.366 of IPC was deleted and only ss.376 and 506 of IPC survived against the appellant as per the charge-sheet – Appellant sought quashing of criminal proceedings – The High Court, vide the impugned order, had dismissed the appellant’s petition – Correctness:Held: The appellant has also brought to notice the written statement dated 01.08.2023 filed by the respondent no. 3 in the matter of restitution of conjugal rights and highlighted that she has nowhere made any allegations pertaining to rape against the appellant in the said written statement – There is also an order passed by the High Court on 21.06.2022 providing protection to the petitioners therein being the appellant and respondent no. 3 – The said petition was jointly filed by the appellant and respondent no. 3 seeking protection from the family members of the respondent no. 3 as she had married the appellant of her own free will and * Author"
"Ramesh A. Naika v. The Registrar General, High Court of Karnataka Etc.",[2025] 2 S.C.R. 1721,"Coram : VIKRAM NATH * , SANJAY KAROL, SANDEEP MEHTA",13-02-2025,CRIMINAL APPEAL No. 877-878/2020,3 Judges,"pdfs/Ramesh A. Naika v. The Registrar General, High Court of Karnataka Etc..pdf","Penal Code, 1860 – Section 302 – Murder of two minor children – Conviction under Section 302 confirmed, whereas death penalty commuted to life sentence – Case of circumstantial evidence:* Author"
Wahid v. State Govt. of NCT of Delhi,[2025] 2 S.C.R. 363,"Coram : PAMIDIGHANTAM SRI NARASIMHA * , MANOJ MISRA",04-02-2025,CRIMINAL APPEAL No. 201/2020,2 Judges,pdfs/Wahid v. State Govt. of NCT of Delhi.pdf,"Penal Code, 1860 – ss.392, 397, 411 – Arms Act, 1959 – s.25 – Prosecution case was that complainant (PW-1) while travelling along with other passengers in a Gramin Sewa (mini bus) got robbed by four persons armed with weapons – FIR was registered – Appellant-W was convicted by the Trial Court for offence punishable u/s.392 r/w. s.397 IPC, but acquitted u/s.411 IPC – Appellant-A was convicted and sentenced u/s. 392 r/w. s.397 IPC and s.25(1) of the Arms Act – Both the appellants filed appeal before the High Court which were dismissed – Correctness:Held: Having perused the materials on record, prosecution has succeeded in establishing that on the night of 3.12.2011 the travellers of Gramin Sewa were robbed by four persons – However, mere proof of robbery is not sufficient to hold that the accused persons who were put to trial were the ones who committed the offence – In the instant case, neither the accused persons were named nor they were known either to the complainant or the witnesses from before – Prosecution case is rather too simple, that is, two days later, on 5.12.2011, PW-1 himself noticed the accused persons standing near DTC Bus Depot; immediately thereafter he informed the police about their presence; the police went to the spot, arrested them, and, upon search of those persons, recovered * Author"
Vishwajeet Kerba Masalkar v. State of Maharashtra,[2024] 10 S.C.R. 753,"Coram : BHUSHAN RAMKRISHNA GAVAI * , PRASHANT KUMAR MISHRA, K.V. VISWANATHAN",17-10-2024,CRIMINAL APPEAL No. 213/2020,3 Judges,pdfs/Vishwajeet Kerba Masalkar v. State of Maharashtra.pdf,"Penal Code, 1860 – ss.302, 307 and 201 – Case based on circumstantial evidence – Case of the prosecution that the appellant informed about a robbery at his house and the murder of his wife, daughter and mother and the injuries caused to his neighbour-PW-12 – Later, he was arrested on the basis of suspicion of committing the said murders as it was revealed during investigation that he had an extra-marital affair – Appellant was convicted and sentenced to death – Justification:Held: Prosecution case mainly rested on the ocular testimony of PW-12 however, the same is discarded being full of contradictions – Thus, the case becomes one of circumstantial evidence wherein the circumstances from which the conclusion of guilt is to be drawn should be fully established – There must be a chain of evidence so complete as not to leave any reasonable ground for the conclusion consistent with the innocence of the accused and must show that in all human probabilities, the act must have been done by the accused – Trial court relied on circumstances such as recovery of hammer allegedly used in the crime; recovery of appellant’s blood-stained clothes; and CCTV Footage – Recovery of the hammer having bloodstains was from a canal which was open and accessible to one and all and the place where the accused took the police to show where * Author"
Ram Prakash Chadha v. The State of Uttar Pradesh,[2024] 7 S.C.R. 1155,"Coram : C.T. RAVIKUMAR * , SUDHANSHU DHULIA",15-07-2024,CRIMINAL APPEAL No. 2395/2023,2 Judges,pdfs/Ram Prakash Chadha v. The State of Uttar Pradesh.pdf,"Code of Criminal Procedure, 1973 – s.227 – Discharge – In the chargesheet, appellant was accused for commission of offences u/ss. 302, 343, 217, 218, 330, 120B and 34,  IPC – Appellant sought discharge u/s. 227 of Cr.PC – The said application for discharge u/s. 227 of Cr.PC, was rejected by the court of Additional Sessions Judge/Special Judge  (CBI) – The appellant filed an application u/s.482 of Cr.PC before the High Court, however, same was dismissed by the High Court – Propriety:Held: In the final report filed in FIR No.371 of 1993 viz., in the custodial death case, the record revealed that the essence of the accusation is commission of custodial death owing to the torture to which victim-deceased was subjected to, from 17.07.1993 to 23.07.1993 – A scanning of the charge as also the other materials including the statements of the witnesses recorded u/s. 161, Cr.PC, would reveal that there is absolute absence of any accusation or even an insinuation that the appellant had played any role in torturing victim – The implication of the appellant in the  crime is with the aid of s.120B and s.34, IPC – An agreement referred to in Section 120A, IPC may be expressed or implied or * Author"
Gaurav Maini v. The State of Haryana,[2024] 7 S.C.R. 333,"Coram : BHUSHAN RAMKRISHNA GAVAI * , SANDEEP MEHTA",09-07-2024,CRIMINAL APPEAL No. 696/2010,2 Judges,pdfs/Gaurav Maini v. The State of Haryana.pdf,"Penal Code, 1860 – ss. 364A, 392 and 120B – Kidnapping for ransom – Robbery – Prosecution case that the appellants kidnapped a minor boy for ransom and robbed him, and on payment of ransom of Rs. One crore, the boy was released – FIR was registered by police on the basis of the secret information received by them while patrolling about such offences – Pursuant thereto, first disclosure of the incident made by the grandfather to the Investigating Officer, however, FIR was not registered regarding the alleged kidnapping of the boy – Conviction and sentence of the appellants for the offences punishable u/ss. 364A, 392 and 120B by the trial court – Upheld by the High Court – Correctness:Held: Entire prosecution story totally concocted and does not inspire confidence – Inherent improbabilities in the versions of the two star prosecution witnesses-father of the kidnapped boy and the kidnapped boy – Prosecution failed to examine the most relevant witness-grandfather which compels the Court to draw an adverse inference against the prosecution – No convincing evidence led by the prosecution to connect the accused persons with the suspected mobile numbers – FIR could not have been registered on the basis of the secret information received by SI because the said information did not disclose the commission of any cognizable offence – If at all, the FIR had to be registered, on the basis of the statement of grandfather recorded by the police officials – However, no such steps taken by the police officials, thus, creates doubt on the bona fides of the actions of the Investigating Agency – Complainant party * Author"
"Vishwanatha v. The State of Karnataka by the Secretary, Home Department",[2024] 7 S.C.R. 50,"Coram : SUDHANSHU DHULIA * , PRASANNA BHALACHANDRA VARALE",08-07-2024,CRIMINAL APPEAL No. 129/2012,2 Judges,"pdfs/Vishwanatha v. The State of Karnataka by the Secretary, Home Department.pdf","Evidence – Test Identification Parade (TIP) – Absence of – When fatal – As per the prosecution, the appellant and the co-accused (now deceased) broke into the house of PW-1 and PW-3 to commit robbery when they were not at home and killed their old mother – However, this was witnessed by PW-1 when she returned home at around 12:30 in the afternoon but, she could not enter the room as it was locked from inside – On raising alarm, PW-2, a neighbour came and they both peeped through the window of the bedroom and saw the incident – TIP not conducted, PW-1 and PW-2 identified accused in Court – Trial Court acquitted the accused persons – Acquittal reversed by High Court – Correctness:Held: As per the eyewitnesses, PW-1 and PW-2 they saw the two accused strangulating PW-1’s mother by pulling both ends of the rope – However, their evidence does not corroborate with the post mortem report – The report does suggest that the deceased was indeed strangulated to death but, it could not be in the manner as seen by PW-1 and PW-2 as the ligature mark extended only from one angle of the mandible to the other and no such mark was seen at the back of the neck – Absence of any reasonable explanation as to how PW-1 reached her house in a * Author"
Anees v. The State Govt. of NCT,[2024] 6 S.C.R. 164,"Coram : D.Y. CHANDRACHUD * , J.B. PARDIWALA, MANOJ MISRA",03-05-2024,CRIMINAL APPEAL No. 437/2015,3 Judges,pdfs/Anees v. The State Govt. of NCT.pdf,"Evidence Act, 1872 – s.106 – Burden of proving fact especially within knowledge – “prima facie case” (foundational facts) in the context of s.106 – Murder of appellant-accused’s wife in the early morning hours in their house in which the appellant, deceased and their 5-year-old daughter were living – s.106 was invoked, appellant convicted u/s.302 for the murder – Correctness:Held: s.106 would apply to cases where the prosecution could be said to have succeeded in proving facts from which a reasonable inference can be drawn regarding guilt of the accused – In the present case, offence took place inside the four walls of the house in which the appellant, deceased and their 5-year-old daughter were living – The incident occurred in the early morning hours – When the Investigating Officer (IO) reached the house of the appellant, he found the deceased lying in a pool of blood – Appellant was also present there – The defence put forward by the appellant that two unidentified persons entered the house and inflicted injuries on the deceased and also on his body was found to be false – Clothes worn by the appellant at the time of the incident had blood stains which matched with the blood group of the deceased – Further, the conduct of the appellant in leading the IO and others to a drain nearby his house and the discovery of the knife from the drain is a "
Nenavath Bujji Etc. v. The State of Telangana and Ors.,[2024] 3 S.C.R. 1181,"Coram : D.Y. CHANDRACHUD * , J.B. PARDIWALA, MANOJ MISRA",21-03-2024,CRIMINAL APPEAL No. 1738/2024,3 Judges,pdfs/Nenavath Bujji Etc. v. The State of Telangana and Ors..pdf,"Telangana Prevention of Dangerous Activities of BootLeggers, Dacoits, Drug-Offenders, Goondas, Immoral Traffic Offenders Land-Grabbers, Spurious Seed Offenders, Insecticide Offenders, Fertiliser Offenders, Food Adulteration Offenders, Fake Document Offenders, Scheduled Commodities Offenders, Forest Offenders, Gaming Offenders, Sexual Offenders, Explosive Substances Offenders, Arms Offenders, Cyber Crime Offenders and White Collar or Financial Offenders Act, 1986 – s. 3(2) – Preventive detention under – Proposed detenu along with his associates habitually committing  robberies, property theft offences and gold chain snatchings from women folk by using criminal force on public roads in broad day light continuously – Registeration of four FIRs against the detenue for the said offence, however, the Detaining Authority took into consideration only two FIRs registered within its territorial jurisdiction – Order of preventive detention passed – Division Bench of the High Court upheld the order – Correctness:Held: Habituality of committing offence cannot, in isolation, be taken as a basis of any detention order; rather it has to be tested on the matrices of “public order” – It is only those cases where such habituality has created disturbance of public order that they could qualify as a ground to order detention – Inability on the part of the state’s police machinery to tackle the law and order situation "
Navas @ Mulanavas v. State of Kerala,[2024] 3 S.C.R. 913,"Coram : BHUSHAN RAMKRISHNA GAVAI * , SANDEEP MEHTA, K.V. VISWANATHAN",18-03-2024,CRIMINAL APPEAL No. 1215/2011,3 Judges,pdfs/Navas @ Mulanavas v. State of Kerala.pdf,"Sentence/Sentencing – Murder – Appropriate period of sentence to be imposed under the Swamy Shraddananda v. State of Karnataka [2008] 11 SCR 93 principle wherein it was held that to avoid a death sentence, the courts can device a graver form of imprisonment for life beyond fourteen years – Aggravating and mitigating circumstances – Relevant factors for arriving at the number of years which the convict will have to undergo before which remission could be sought – Trial Court sentenced the accused to death for the offence punishable u/s.302, IPC – High Court confirmed the conviction, however modified the death sentence to imprisonment for 30 years without remission following the Swamy Shraddananda line of cases – Correctness:Held: Circumstances of the present case were by themselves consistent with the sole hypothesis that the accused and the accused alone was the perpetrator of the murders – On the aggravating side, act committed by the accused was pre-planned/"
